,policy_id,monthly_premium_est,insurance_tier,charges,customer_id,region_id
75,76,127.71,Bronze,1532.47,76.0,3.0
76,77,229.58,Bronze,2755.02,77.0,2.0
77,78,547.58,Silver,6571.02,78.0,3.0
78,79,370.1,Silver,4441.21,79.0,4.0
79,80,661.27,Gold,7935.29,80.0,3.0
80,81,3097.1,Diamond,37165.16,81.0,1.0
81,82,919.47,Gold,11033.66,82.0,2.0
82,83,3319.71,Diamond,39836.52,83.0,1.0
83,84,1758.21,Diamond,21098.55,84.0,2.0
84,85,3631.58,Diamond,43578.94,85.0,4.0
85,86,922.76,Gold,11073.18,86.0,1.0
86,87,668.89,Gold,8026.67,87.0,1.0
87,88,923.55,Gold,11082.58,88.0,4.0
88,89,168.91,Bronze,2026.97,89.0,2.0
89,90,911.84,Gold,10942.13,90.0,1.0
90,91,2515.41,Diamond,30184.94,91.0,3.0
91,92,477.42,Silver,5729.01,92.0,3.0
92,93,3940.92,Diamond,47291.06,93.0,2.0
93,94,313.91,Bronze,3766.88,94.0,2.0
94,95,1008.78,Platinum,12105.32,95.0,3.0
95,96,852.19,Gold,10226.28,96.0,1.0
96,97,1867.72,Diamond,22412.65,97.0,1.0
97,98,1318.39,Platinum,15820.7,98.0,4.0
98,99,515.51,Silver,6186.13,99.0,4.0
99,100,303.76,Bronze,3645.09,100.0,2.0
100,101,1778.74,Diamond,21344.85,101.0,4.0
101,102,2578.52,Diamond,30942.19,102.0,4.0
102,103,416.99,Silver,5003.85,103.0,3.0
103,104,1463.36,Platinum,17560.38,104.0,4.0
104,105,194.29,Bronze,2331.52,105.0,1.0
105,106,323.11,Bronze,3877.3,106.0,3.0
106,107,238.93,Bronze,2867.12,107.0,4.0
107,108,3921.29,Diamond,47055.53,108.0,4.0
108,109,902.1,Gold,10825.25,109.0,4.0
109,110,990.11,Platinum,11881.36,110.0,2.0
110,111,387.23,Silver,4646.76,111.0,3.0
111,112,200.39,Bronze,2404.73,112.0,2.0
112,113,957.36,Platinum,11488.32,113.0,1.0
113,114,2521.67,Diamond,30260.0,114.0,4.0
114,115,948.44,Gold,11381.33,115.0,4.0
115,116,1592.31,Platinum,19107.78,116.0,2.0
116,117,716.78,Gold,8601.33,117.0,3.0
117,118,557.2,Silver,6686.43,118.0,3.0
118,119,645.03,Gold,7740.34,119.0,3.0
119,120,142.14,Bronze,1705.62,120.0,2.0
120,121,188.12,Bronze,2257.48,121.0,2.0
121,122,3296.37,Diamond,39556.49,122.0,4.0
122,123,842.92,Gold,10115.01,123.0,4.0
123,124,282.12,Bronze,3385.4,124.0,4.0
124,125,1423.42,Platinum,17081.08,125.0,3.0
125,126,802.88,Gold,9634.54,126.0,2.0
126,127,2727.85,Diamond,32734.19,127.0,2.0
127,128,506.87,Silver,6082.4,128.0,3.0
128,129,1067.95,Platinum,12815.44,129.0,2.0
129,130,1134.7,Platinum,13616.36,130.0,1.0
130,131,930.3,Gold,11163.57,131.0,1.0
131,132,136.05,Bronze,1632.56,132.0,4.0
132,133,204.77,Bronze,2457.21,133.0,1.0
133,134,179.64,Bronze,2155.68,134.0,3.0
134,135,105.12,Bronze,1261.44,135.0,4.0
135,136,170.47,Bronze,2045.69,136.0,1.0
136,137,2276.89,Diamond,27322.73,137.0,1.0
137,138,180.56,Bronze,2166.73,138.0,3.0
138,139,2281.33,Diamond,27375.9,139.0,1.0
139,140,290.88,Bronze,3490.55,140.0,3.0
140,141,1581.04,Platinum,18972.5,141.0,1.0
141,142,1513.16,Platinum,18157.88,142.0,4.0
142,143,1728.83,Diamond,20745.99,143.0,4.0
143,144,428.19,Silver,5138.26,144.0,3.0
144,145,3393.38,Diamond,40720.55,145.0,2.0
145,146,823.13,Gold,9877.61,146.0,4.0
146,147,913.31,Gold,10959.69,147.0,2.0
147,148,153.54,Bronze,1842.52,148.0,3.0
148,149,427.1,Silver,5125.22,149.0,2.0
149,150,649.14,Gold,7789.64,150.0,1.0
150,151,527.86,Silver,6334.34,151.0,3.0
151,152,1663.73,Platinum,19964.75,152.0,1.0
152,153,589.77,Silver,7077.19,153.0,2.0
153,154,579.06,Silver,6948.7,154.0,3.0
154,155,1768.64,Diamond,21223.68,155.0,4.0
155,156,1293.18,Platinum,15518.18,156.0,2.0
156,157,3079.19,Diamond,36950.26,157.0,3.0
157,158,1645.78,Platinum,19749.38,158.0,1.0
158,159,1779.06,Diamond,21348.71,159.0,4.0
159,160,3012.46,Diamond,36149.48,160.0,2.0
160,161,870.88,Gold,10450.55,161.0,4.0
161,162,429.34,Silver,5152.13,162.0,1.0
162,163,419.01,Silver,5028.15,163.0,3.0
163,164,867.26,Gold,10407.09,164.0,2.0
164,165,402.55,Silver,4830.63,165.0,1.0
165,166,510.73,Silver,6128.8,166.0,2.0
166,167,226.61,Bronze,2719.28,167.0,4.0
167,168,402.32,Silver,4827.9,168.0,1.0
168,169,1117.12,Platinum,13405.39,169.0,2.0
169,170,676.39,Gold,8116.68,170.0,2.0
170,171,141.23,Bronze,1694.8,171.0,1.0
171,172,437.17,Silver,5246.05,172.0,3.0
172,173,237.95,Bronze,2855.44,173.0,2.0
173,174,4068.7,Diamond,48824.45,174.0,4.0
174,175,537.99,Silver,6455.86,175.0,4.0
175,176,869.68,Gold,10436.1,176.0,1.0
176,177,735.27,Gold,8823.28,177.0,2.0
177,178,711.52,Gold,8538.29,178.0,4.0
178,179,977.99,Platinum,11735.88,179.0,2.0
179,180,135.98,Bronze,1631.82,180.0,1.0
180,181,333.78,Silver,4005.42,181.0,4.0
181,182,618.29,Gold,7419.48,182.0,4.0
182,183,644.29,Gold,7731.43,183.0,3.0
183,184,3646.11,Diamond,43753.34,184.0,2.0
184,185,331.83,Bronze,3981.98,185.0,3.0
185,186,443.8,Silver,5325.65,186.0,1.0
186,187,564.66,Silver,6775.96,187.0,2.0
187,188,410.24,Silver,4922.92,188.0,2.0
188,189,1046.47,Platinum,12557.61,189.0,2.0
189,190,406.99,Silver,4883.87,190.0,1.0
190,191,178.14,Bronze,2137.65,191.0,4.0
191,192,1003.7,Platinum,12044.34,192.0,1.0
192,193,94.79,Bronze,1137.47,193.0,3.0
193,194,136.63,Bronze,1639.56,194.0,3.0
194,195,470.81,Silver,5649.72,195.0,4.0
195,196,709.74,Gold,8516.83,196.0,4.0
196,197,803.69,Gold,9644.25,197.0,4.0
197,198,1241.79,Platinum,14901.52,198.0,3.0
198,199,177.56,Bronze,2130.68,199.0,2.0
199,200,739.26,Gold,8871.15,200.0,1.0
200,201,1084.35,Platinum,13012.21,201.0,1.0
201,202,3094.49,Diamond,37133.9,202.0,2.0
202,203,595.59,Silver,7147.1,203.0,3.0
203,204,361.48,Silver,4337.74,204.0,1.0
204,205,978.61,Platinum,11743.3,205.0,2.0
205,206,1748.67,Diamond,20984.09,206.0,4.0
206,207,1156.75,Platinum,13880.95,207.0,2.0
207,208,550.84,Silver,6610.11,208.0,2.0
208,209,165.01,Bronze,1980.07,209.0,1.0
209,210,680.23,Gold,8162.72,210.0,3.0
210,211,294.81,Bronze,3537.7,211.0,4.0
211,212,416.9,Silver,5002.78,212.0,3.0
212,213,710.0,Gold,8520.03,213.0,1.0
213,214,614.31,Silver,7371.77,214.0,4.0
214,215,862.97,Gold,10355.64,215.0,1.0
215,216,206.98,Bronze,2483.74,216.0,1.0
216,217,282.75,Bronze,3392.98,217.0,3.0
217,218,2090.15,Diamond,25081.77,218.0,3.0
218,219,417.71,Silver,5012.47,219.0,4.0
219,220,880.41,Gold,10564.88,220.0,4.0
220,221,437.79,Silver,5253.52,221.0,1.0
221,222,2898.3,Diamond,34779.62,222.0,2.0
222,223,1626.3,Platinum,19515.54,223.0,3.0
223,224,998.93,Platinum,11987.17,224.0,1.0
224,225,224.12,Bronze,2689.5,225.0,4.0
225,226,2018.94,Diamond,24227.34,226.0,2.0
226,227,613.18,Silver,7358.18,227.0,4.0
227,228,768.77,Gold,9225.26,228.0,2.0
228,229,620.3,Gold,7443.64,229.0,1.0
229,230,1166.77,Platinum,14001.29,230.0,4.0
230,231,143.98,Bronze,1727.78,231.0,3.0
231,232,1027.82,Platinum,12333.83,232.0,2.0
232,233,559.18,Silver,6710.19,233.0,4.0
233,234,1620.36,Platinum,19444.27,234.0,1.0
234,235,134.65,Bronze,1615.77,235.0,1.0
235,236,371.93,Silver,4463.21,236.0,4.0
236,237,1446.06,Platinum,17352.68,237.0,4.0
237,238,596.06,Silver,7152.67,238.0,2.0
238,239,3209.3,Diamond,38511.63,239.0,3.0
239,240,446.17,Silver,5354.07,240.0,4.0
240,241,2930.01,Diamond,35160.13,241.0,3.0
241,242,599.74,Silver,7196.87,242.0,2.0
242,243,2460.26,Diamond,29523.17,243.0,4.0
243,244,2039.71,Diamond,24476.48,244.0,4.0
244,245,1054.06,Platinum,12648.7,245.0,2.0
245,246,165.58,Bronze,1986.93,246.0,3.0
246,247,152.67,Bronze,1832.09,247.0,4.0
247,248,336.71,Silver,4040.56,248.0,1.0
248,249,1069.12,Platinum,12829.46,249.0,1.0
249,250,3942.11,Diamond,47305.3,250.0,3.0
250,251,3688.4,Diamond,44260.75,251.0,2.0
251,252,355.06,Silver,4260.74,252.0,1.0
252,253,3424.76,Diamond,41097.16,253.0,2.0
253,254,1087.28,Platinum,13047.33,254.0,2.0
254,255,3660.1,Diamond,43921.18,255.0,4.0
255,256,450.08,Silver,5400.98,256.0,2.0
256,257,960.01,Platinum,11520.1,257.0,2.0
257,258,2812.52,Diamond,33750.29,258.0,2.0
258,259,986.43,Platinum,11837.16,259.0,4.0
259,260,1423.77,Platinum,17085.27,260.0,4.0
260,261,2072.49,Diamond,24869.84,261.0,3.0
261,262,3018.28,Diamond,36219.41,262.0,1.0
262,263,1705.25,Diamond,20463.0,263.0,1.0
263,264,3845.93,Diamond,46151.12,264.0,2.0
264,265,1431.63,Platinum,17179.52,265.0,3.0
265,266,1215.89,Platinum,14590.63,266.0,1.0
266,267,620.09,Gold,7441.05,267.0,1.0
267,268,773.54,Gold,9282.48,268.0,1.0
268,269,143.29,Bronze,1719.44,269.0,1.0
269,270,3571.4,Diamond,42856.84,270.0,2.0
270,271,605.48,Silver,7265.7,271.0,4.0
271,272,801.47,Gold,9617.66,272.0,3.0
272,273,210.26,Bronze,2523.17,273.0,4.0
273,274,809.65,Gold,9715.84,274.0,4.0
274,275,233.64,Bronze,2803.7,275.0,3.0
275,276,179.21,Bronze,2150.47,276.0,2.0
276,277,1077.4,Platinum,12928.79,277.0,3.0
277,278,821.26,Gold,9855.13,278.0,1.0
278,279,1860.96,Diamond,22331.57,279.0,1.0
279,280,4045.76,Diamond,48549.18,280.0,4.0
280,281,353.09,Silver,4237.13,281.0,1.0
281,282,989.92,Platinum,11879.1,282.0,1.0
282,283,802.16,Gold,9625.92,283.0,2.0
283,284,645.18,Gold,7742.11,284.0,2.0
284,285,786.08,Gold,9432.93,285.0,3.0
285,286,1188.02,Platinum,14256.19,286.0,4.0
286,287,3991.4,Diamond,47896.79,287.0,1.0
287,288,2166.07,Diamond,25992.82,288.0,4.0
288,289,264.33,Bronze,3172.02,289.0,2.0
289,290,1689.82,Diamond,20277.81,290.0,4.0
290,291,3509.35,Diamond,42112.24,291.0,2.0
291,292,179.73,Bronze,2156.75,292.0,2.0
292,293,325.51,Bronze,3906.13,293.0,2.0
293,294,142.05,Bronze,1704.57,294.0,2.0
294,295,1358.15,Platinum,16297.85,295.0,4.0
295,296,1831.56,Diamond,21978.68,296.0,4.0
296,297,3228.86,Diamond,38746.36,297.0,1.0
297,298,770.79,Gold,9249.5,298.0,1.0
298,299,562.23,Silver,6746.74,299.0,3.0
299,300,2072.78,Diamond,24873.38,300.0,3.0
300,301,1022.13,Platinum,12265.51,301.0,4.0
301,302,362.46,Silver,4349.46,302.0,2.0
302,303,1053.85,Platinum,12646.21,303.0,3.0
303,304,1620.2,Platinum,19442.35,304.0,1.0
304,305,1681.47,Platinum,20177.67,305.0,3.0
305,306,345.92,Silver,4151.03,306.0,3.0
306,307,995.38,Platinum,11944.59,307.0,2.0
307,308,645.76,Gold,7749.16,308.0,4.0
308,309,703.71,Gold,8444.47,309.0,2.0
309,310,144.78,Bronze,1737.38,310.0,1.0
310,311,3510.38,Diamond,42124.52,311.0,2.0
311,312,677.03,Gold,8124.41,312.0,3.0
312,313,2903.24,Diamond,34838.87,313.0,2.0
313,314,810.23,Gold,9722.77,314.0,1.0
314,315,736.27,Gold,8835.26,315.0,2.0
315,316,869.59,Gold,10435.07,316.0,3.0
316,317,618.43,Gold,7421.19,317.0,1.0
317,318,388.97,Silver,4667.61,318.0,1.0
318,319,407.9,Silver,4894.75,319.0,4.0
319,320,2055.97,Diamond,24671.66,320.0,4.0
320,321,2957.64,Diamond,35491.64,321.0,4.0
321,322,963.86,Platinum,11566.3,322.0,2.0
322,323,238.84,Bronze,2866.09,323.0,1.0
323,324,550.02,Silver,6600.21,324.0,3.0
324,325,296.82,Bronze,3561.89,325.0,4.0
325,326,3563.38,Diamond,42760.5,326.0,1.0
326,327,3994.0,Diamond,47928.03,327.0,3.0
327,328,762.05,Gold,9144.56,328.0,2.0
328,329,4043.13,Diamond,48517.56,329.0,4.0
329,330,2032.8,Diamond,24393.62,330.0,4.0
330,331,1119.09,Platinum,13429.04,331.0,2.0
331,332,971.53,Platinum,11658.38,332.0,3.0
332,333,1595.38,Platinum,19144.58,333.0,3.0
333,334,1151.9,Platinum,13822.8,334.0,4.0
334,335,1011.88,Platinum,12142.58,335.0,4.0
335,336,1161.47,Platinum,13937.67,336.0,1.0
336,337,3493.26,Diamond,41919.1,337.0,2.0
337,338,686.05,Gold,8232.64,338.0,4.0
338,339,1579.6,Platinum,18955.22,339.0,3.0
339,340,1112.68,Platinum,13352.1,340.0,2.0
340,341,1101.42,Platinum,13217.09,341.0,1.0
341,342,1165.15,Platinum,13981.85,342.0,4.0
342,343,914.77,Gold,10977.21,343.0,3.0
343,344,515.36,Silver,6184.3,344.0,3.0
344,345,407.5,Silver,4890.0,345.0,1.0
345,346,694.54,Gold,8334.46,346.0,1.0
346,347,456.5,Silver,5478.04,347.0,2.0
347,348,136.31,Bronze,1635.73,348.0,3.0
348,349,985.88,Platinum,11830.61,349.0,4.0
349,350,744.34,Gold,8932.08,350.0,3.0
350,351,296.18,Bronze,3554.2,351.0,3.0
351,352,1033.74,Platinum,12404.88,352.0,4.0
352,353,1177.75,Platinum,14133.04,353.0,3.0
353,354,2050.25,Diamond,24603.05,354.0,3.0
354,355,745.34,Gold,8944.12,355.0,1.0
355,356,801.69,Gold,9620.33,356.0,3.0
356,357,153.11,Bronze,1837.28,357.0,4.0
357,358,133.96,Bronze,1607.51,358.0,2.0
358,359,836.94,Gold,10043.25,359.0,1.0
359,360,395.92,Silver,4751.07,360.0,1.0
360,361,1153.71,Platinum,13844.51,361.0,1.0
361,362,216.48,Bronze,2597.78,362.0,1.0
362,363,265.04,Bronze,3180.51,363.0,2.0
363,364,814.86,Gold,9778.35,364.0,3.0
364,365,1119.19,Platinum,13430.26,365.0,1.0
365,366,668.09,Gold,8017.06,366.0,3.0
366,367,676.36,Gold,8116.27,367.0,3.0
367,368,290.16,Bronze,3481.87,368.0,1.0
368,369,1117.92,Platinum,13415.04,369.0,3.0
369,370,1002.44,Platinum,12029.29,370.0,1.0
370,371,636.62,Gold,7639.42,,
371,372,3007.1,Diamond,36085.22,,
372,373,115.96,Bronze,1391.53,,
373,374,1502.83,Platinum,18033.97,,
374,375,1804.99,Diamond,21659.93,,
375,376,3177.19,Diamond,38126.25,,
376,377,1371.31,Platinum,16455.71,,
377,378,2250.08,Diamond,27000.98,,
378,379,1250.55,Platinum,15006.58,,
379,380,3525.31,Diamond,42303.69,,
380,381,1731.79,Diamond,20781.49,,
381,382,487.24,Silver,5846.92,,
382,383,691.88,Gold,8302.54,,
383,384,105.15,Bronze,1261.86,,
384,385,988.03,Platinum,11856.41,,
385,386,2523.72,Diamond,30284.64,,
386,387,264.74,Bronze,3176.82,,
387,388,384.84,Silver,4618.08,,
388,389,894.74,Gold,10736.87,,
389,390,178.17,Bronze,2138.07,,
390,391,747.0,Gold,8964.06,,
391,392,774.18,Gold,9290.14,,
392,393,784.25,Gold,9411.0,,
393,394,627.23,Gold,7526.71,,
394,395,710.17,Gold,8522.0,,
395,396,1382.21,Platinum,16586.5,,
396,397,1249.04,Platinum,14988.43,,
397,398,135.97,Bronze,1631.67,,
398,399,772.07,Gold,9264.8,,
399,400,673.66,Gold,8083.92,,
400,401,1224.39,Platinum,14692.67,,
401,402,855.79,Gold,10269.46,,
402,403,271.68,Bronze,3260.2,,
403,404,949.74,Gold,11396.9,,
404,405,348.76,Silver,4185.1,,
405,406,711.64,Gold,8539.67,,
406,407,554.38,Silver,6652.53,,
407,408,339.54,Silver,4074.45,,
408,409,135.11,Bronze,1621.34,,
409,410,1632.9,Platinum,19594.81,,
410,411,1204.64,Platinum,14455.64,,
411,412,423.34,Silver,5080.1,,
412,413,177.91,Bronze,2134.9,,
413,414,612.14,Silver,7345.73,,
414,415,761.75,Gold,9140.95,,
415,416,1550.69,Platinum,18608.26,,
416,417,1201.52,Platinum,14418.28,,
417,418,2412.54,Diamond,28950.47,,
418,419,3907.44,Diamond,46889.26,,
419,420,3883.26,Diamond,46599.11,,
420,421,3260.44,Diamond,39125.33,,
421,422,227.28,Bronze,2727.4,,
422,423,747.36,Gold,8968.33,,
423,424,815.74,Gold,9788.87,,
424,425,546.26,Silver,6555.07,,
425,426,610.31,Silver,7323.73,,
426,427,263.96,Bronze,3167.46,,
427,428,1567.06,Platinum,18804.75,,
428,429,1923.58,Diamond,23082.96,,
429,430,408.87,Silver,4906.41,,
430,431,497.48,Silver,5969.72,,
431,432,1053.18,Platinum,12638.2,,
432,433,353.63,Silver,4243.59,,
433,434,1159.98,Platinum,13919.82,,
434,435,187.9,Bronze,2254.8,,
435,436,493.9,Silver,5926.85,,
436,437,1049.38,Platinum,12592.53,,
437,438,241.44,Bronze,2897.32,,
438,439,394.86,Silver,4738.27,,
439,440,3089.95,Diamond,37079.37,,
440,441,95.78,Bronze,1149.4,,
441,442,2357.33,Diamond,28287.9,,
442,443,2175.78,Diamond,26109.33,,
443,444,612.09,Silver,7345.08,,
444,445,1060.92,Platinum,12731.0,,
445,446,954.5,Platinum,11454.02,,
446,447,492.58,Silver,5910.94,,
447,448,396.86,Silver,4762.33,,
448,449,626.02,Gold,7512.27,,
449,450,336.02,Silver,4032.24,,
450,451,164.13,Bronze,1969.61,,
451,452,147.46,Bronze,1769.53,,
452,453,390.53,Silver,4686.39,,
453,454,1816.42,Diamond,21797.0,,
454,455,990.16,Platinum,11881.97,,
455,456,986.73,Platinum,11840.78,,
456,457,883.45,Gold,10601.41,,
457,458,640.22,Gold,7682.67,,
458,459,865.12,Gold,10381.48,,
459,460,1845.34,Diamond,22144.03,,
460,461,1269.19,Platinum,15230.32,,
461,462,930.45,Gold,11165.42,,
462,463,136.0,Bronze,1632.04,,
463,464,1626.83,Platinum,19521.97,,
464,465,1102.06,Platinum,13224.69,,
465,466,1053.62,Platinum,12643.38,,
466,467,1940.74,Diamond,23288.93,,
467,468,183.42,Bronze,2201.1,,
468,469,208.09,Bronze,2497.04,,
469,470,183.62,Bronze,2203.47,,
470,471,145.37,Bronze,1744.46,,
471,472,1739.9,Diamond,20878.78,,
472,473,2115.19,Diamond,25382.3,,
473,474,2405.72,Diamond,28868.66,,
474,475,2928.96,Diamond,35147.53,,
475,476,211.2,Bronze,2534.39,,
476,477,127.86,Bronze,1534.3,,
477,478,152.02,Bronze,1824.29,,
478,479,1296.27,Platinum,15555.19,,
479,480,775.39,Gold,9304.7,,
480,481,135.18,Bronze,1622.19,,
481,482,823.34,Gold,9880.07,,
482,483,796.92,Gold,9563.03,,
483,484,362.25,Silver,4347.02,,
484,485,1039.61,Platinum,12475.35,,
485,486,104.5,Bronze,1253.94,,
486,487,4073.76,Diamond,48885.14,,
487,488,871.83,Gold,10461.98,,
488,489,145.73,Bronze,1748.77,,
489,490,2042.76,Diamond,24513.09,,
490,491,183.04,Bronze,2196.47,,
491,492,1047.84,Platinum,12574.05,,
492,493,1495.18,Platinum,17942.11,,
493,494,163.92,Bronze,1967.02,,
494,495,410.97,Silver,4931.65,,
495,496,669.0,Gold,8027.97,,
496,497,684.26,Gold,8211.1,,
497,498,1122.57,Platinum,13470.86,,
498,499,3016.48,Diamond,36197.7,,
499,500,569.78,Silver,6837.37,,
500,501,1851.51,Diamond,22218.11,,
501,502,2712.36,Diamond,32548.34,,
502,503,497.86,Silver,5974.38,,
503,504,566.4,Silver,6796.86,,
504,505,220.27,Bronze,2643.27,,
505,506,256.42,Bronze,3077.1,,
506,507,253.68,Bronze,3044.21,,
507,508,954.61,Platinum,11455.28,,
508,509,980.25,Platinum,11763.0,,
509,510,208.2,Bronze,2498.41,,
510,511,780.11,Gold,9361.33,,
511,512,104.69,Bronze,1256.3,,
512,513,1756.85,Diamond,21082.16,,
513,514,946.9,Gold,11362.76,,
514,515,2310.36,Diamond,27724.29,,
515,516,701.12,Gold,8413.46,,
516,517,436.73,Silver,5240.77,,
517,518,321.48,Bronze,3857.76,,
518,519,2138.05,Diamond,25656.58,,
519,520,332.85,Bronze,3994.18,,
520,521,822.19,Gold,9866.3,,
521,522,449.8,Silver,5397.62,,
522,523,3187.13,Diamond,38245.59,,
523,524,956.89,Platinum,11482.63,,
524,525,2004.97,Diamond,24059.68,,
525,526,821.75,Gold,9861.02,,
526,527,695.24,Gold,8342.91,,
527,528,142.33,Bronze,1708.0,,
528,529,4056.29,Diamond,48675.52,,
529,530,1170.29,Platinum,14043.48,,
530,531,1077.16,Platinum,12925.89,,
531,532,1601.23,Platinum,19214.71,,
532,533,1152.59,Platinum,13831.12,,
533,534,505.59,Silver,6067.13,,
534,535,497.7,Silver,5972.38,,
535,536,735.42,Gold,8825.09,,
536,537,686.09,Gold,8233.1,,
537,538,2278.84,Diamond,27346.04,,
538,539,516.37,Silver,6196.45,,
539,540,254.7,Bronze,3056.39,,
540,541,1157.27,Platinum,13887.2,,
541,542,5314.2,Diamond,63770.43,,
542,543,852.62,Gold,10231.5,,
543,544,1983.94,Diamond,23807.24,,
544,545,272.4,Bronze,3268.85,,
545,546,961.54,Platinum,11538.42,,
546,547,267.8,Bronze,3213.62,,
547,548,3821.93,Diamond,45863.2,,
548,549,1115.88,Platinum,13390.56,,
549,550,331.08,Bronze,3972.92,,
550,551,1079.76,Platinum,12957.12,,
551,552,932.3,Gold,11187.66,,
552,553,1489.91,Platinum,17878.9,,
553,554,320.64,Bronze,3847.67,,
554,555,694.55,Gold,8334.59,,
555,556,327.93,Bronze,3935.18,,
556,557,3331.95,Diamond,39983.43,,
557,558,137.2,Bronze,1646.43,,
558,559,766.15,Gold,9193.84,,
559,560,910.33,Gold,10923.93,,
560,561,207.84,Bronze,2494.02,,
561,562,754.89,Gold,9058.73,,
562,563,233.44,Bronze,2801.26,,
563,564,177.37,Bronze,2128.43,,
564,565,531.13,Silver,6373.56,,
565,566,604.73,Silver,7256.72,,
566,567,962.74,Platinum,11552.9,,
567,568,3808.5,Diamond,45702.02,,
568,569,313.44,Bronze,3761.29,,
569,570,184.95,Bronze,2219.45,,
570,571,396.14,Silver,4753.64,,
571,572,2635.0,Diamond,31620.0,,
572,573,1102.0,Platinum,13224.06,,
573,574,1018.58,Platinum,12222.9,,
574,575,138.75,Bronze,1665.0,,
575,576,4880.92,Diamond,58571.07,,
576,577,810.38,Gold,9724.53,,
577,578,267.21,Bronze,3206.49,,
578,579,1076.17,Platinum,12913.99,,
579,580,529.69,Silver,6356.27,,
580,581,1468.85,Platinum,17626.24,,
581,582,103.57,Bronze,1242.82,,
582,583,398.3,Silver,4779.6,,
583,584,321.77,Bronze,3861.21,,
584,585,3661.99,Diamond,43943.88,,
